STATUS | wrapper  | 2014/06/11 08:12:23 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/11 08:12:23 | Launching a JVM...
INFO   | jvm 1    | 2014/06/11 08:12:23 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2014/06/11 08:12:23 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2014/06/11 08:12:23 | 
INFO   | jvm 1    | 2014/06/11 08:12:23 | Java Runtime: Oracle Corporation 1.7.0_45 C:\Program Files (x86)\Java\jre7
INFO   | jvm 1    | 2014/06/11 08:12:23 |   Heap sizes: current=15872k  free=12468k  max=506816k
INFO   | jvm 1    | 2014/06/11 08:12:23 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Xmx512m -Djava.library.path=../../bin/win32 -Dwrapper.key=2TQdYOvLm_D0Q79s -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=2968 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2014/06/11 08:12:23 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2014/06/11 08:12:23 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2014/06/11 08:12:24 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2014/06/11 08:12:24 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@16c3541: startup date [Wed Jun 11 08:12:24 IST 2014]; root of context hierarchy
INFO   | jvm 1    | 2014/06/11 08:12:24 |  WARN | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead
INFO   | jvm 1    | 2014/06/11 08:12:24 |  INFO | PListStore:..\..\data\localhost\tmp_storage started
INFO   | jvm 1    | 2014/06/11 08:12:24 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[F:\apache-activemq-5.5.1 - Copy\bin\win32\..\..\data\kahadb]
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | For help or more information please see: http://activemq.apache.org/
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | Listening for connections at: tcp://tamajit:61616
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | Connector openwire Started
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | ActiveMQ JMS Message Broker (localhost, ID:tamajit-51824-1402454545130-0:1) started
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | jetty-7.1.6.v20100715
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | ActiveMQ WebConsole initialized.
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | ActiveMQ Console at http://0.0.0.0:8161/admin
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | ActiveMQ Web Demos at http://0.0.0.0:8161/demo
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | RESTful file access application at http://0.0.0.0:8161/fileserver
INFO   | jvm 1    | 2014/06/11 08:12:25 |  INFO | Started SelectChannelConnector@0.0.0.0:8161
